,Site,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Spokane St. Bridge Total,West,East,precip_accum_one_hour_set_1,AQI_bucket_calculated,AQI_calculated_where,AQI_Cause
2289,Seattle 10th & Weller,2020-08-26,0.38472727272727275,10.277727272727274,,,6.041666666666667,,,,,66.375,164.41666666666666,,,4.166666666666667,33.16220238095238,,2.6946626592007026,0.15052633928571427,0.0,11.227761080002928,25.080472103004293,0.0,30.70574294532628,1.7105265827922078,0.0,8.887971698113207,0.0,30.708333333333332,3018.0,1282.0,1736.0,1348.0,644.0,704.0,0.0,Good,03_SubIndex,O3
2290,Seattle 10th & Weller,2020-08-27,0.4631304347826087,14.518260869565218,,,6.875,,,,,67.45833333333333,174.875,,,3.7458333333333336,31.763392857142858,,3.8028299297321038,0.14901309523809522,0.0,15.845124707217101,27.945427992370053,0.0,29.41054894179894,1.6933306277056275,0.0,13.125786163522013,0.0,29.541666666666668,3031.0,1307.0,1724.0,1288.0,622.0,666.0,0.0,Good,03_SubIndex,O3
2291,Seattle 10th & Weller,2020-08-28,0.3832541666666667,10.433333333333334,,,4.916666666666667,,,,,66.5,133.0,,,4.129166666666666,23.59375,,2.7182017182696527,0.16010587797619047,0.0,11.32584049279022,20.48611111111111,0.0,21.846064814814813,1.8193849770021646,0.0,9.842767295597485,0.0,23.583333333333332,2949.0,1183.0,1766.0,1197.0,596.0,601.0,0.0,Good,03_SubIndex,O3
2292,Seattle 10th & Weller,2020-08-29,0.4087826086956522,11.055652173913044,,,7.5,,,,,64.0,192.0,,,3.65,20.373015873015873,,3.7794095849802374,0.1665984375,0.0,15.747539937417656,31.25,0.0,18.863903586125808,1.8931640624999997,0.0,9.995283018867925,0.0,20.25,2784.0,1242.0,1542.0,1065.0,518.0,547.0,0.0,Good,03_SubIndex,O3
2293,Seattle 10th & Weller,2020-08-30,0.40058333333333335,10.560416666666667,,,10.125,,,,,62.416666666666664,194.66666666666666,,,3.6875,21.019345238095237,,2.327951388888889,0.14098906249999998,0.0,9.699797453703704,39.01853838817358,0.0,19.462356701940035,1.6021484374999997,0.0,9.962657232704403,0.0,19.583333333333332,3003.0,1275.0,1728.0,1209.0,610.0,599.0,0.0,Good,03_SubIndex,O3
2294,Seattle 10th & Weller,2020-08-31,0.43080416666666665,18.255416666666665,,,6.5,,,,,62.375,177.625,,,3.795833333333333,27.15029761904762,,4.994270833333333,0.1620908234126984,0.0,20.809461805555557,27.083333333333332,0.0,25.139164462081126,1.8419411751443,0.0,17.222091194968552,0.0,27.625,2412.0,1013.0,1399.0,978.0,483.0,495.0,0.87,Good,03_SubIndex,O3
2295,Seattle 10th & Weller,2020-09-01,0.5817583333333334,27.229545454545452,,,8.291666666666666,,,,,69.375,244.66666666666666,,,3.225,23.550099206349206,,8.210069444444445,0.17378581349206348,0.0,34.20862268518518,34.37127443967573,0.0,21.805647413286305,1.9748387896825397,0.0,23.54756289308176,0.0,34.708333333333336,3084.0,1237.0,1847.0,1302.0,623.0,679.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
2296,Seattle 10th & Weller,2020-09-02,0.40326521739130433,16.99083333333333,,,8.130434782608695,,,,,67.95833333333333,207.33333333333334,,,4.058333333333334,22.917919799498748,,7.471527777777777,0.15347152777777776,0.0,31.131365740740744,30.745559132093465,0.0,16.79940108759553,1.7439946338383836,0.0,16.029088050314467,0.0,32.875,3137.0,1271.0,1866.0,1364.0,674.0,690.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
2297,Seattle 10th & Weller,2020-09-03,0.436104347826087,15.07391304347826,,,6.826086956521739,,,,,70.0,165.20833333333334,,,3.5041666666666664,20.381944444444446,,2.9032986111111114,0.11368687996031744,0.0,12.097077546296298,26.995410109680495,0.0,18.872170781893004,1.2918963631854254,0.0,13.628144654088052,0.0,19.708333333333332,3025.0,1243.0,1782.0,1381.0,679.0,702.0,0.0,Good,03_SubIndex,O3
2298,Seattle 10th & Weller,2020-09-04,0.4397125,21.608333333333334,,,9.458333333333334,,,,,70.41666666666667,189.875,,,4.2375,22.308333333333334,,4.348111550285464,0.12555438988095238,0.0,18.117131459522763,37.41058655221746,0.0,8.606610082304526,1.4267544304653679,0.0,20.385220125786166,0.0,27.333333333333332,2771.0,1165.0,1606.0,1224.0,598.0,626.0,0.0,Good,NO2_SubIndex,NO2
2299,Seattle 10th & Weller,2020-09-05,0.4092875,13.805833333333334,,,10.125,,,,,65.625,177.45833333333334,,,4.466666666666667,24.44196428571429,,3.20745018115942,0.12428020833333331,0.0,13.364375754830919,40.86194563662375,0.0,22.631448412698415,1.4122750946969695,0.0,13.024371069182392,0.0,22.708333333333332,3111.0,1511.0,1600.0,1307.0,679.0,628.0,0.0,Good,03_SubIndex,O3
2300,Seattle 10th & Weller,2020-09-06,0.5453,20.498749999999998,,,10.458333333333334,,,,,66.70833333333333,199.45833333333334,,,3.066666666666667,21.867559523809522,,4.989583333333333,0.14720267857142855,0.0,20.789930555555557,41.69721626132571,0.0,20.247740299823633,1.6727577110389609,0.0,19.338443396226413,0.0,26.083333333333332,3021.0,1382.0,1639.0,1200.0,587.0,613.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
2301,Seattle 10th & Weller,2020-09-07,0.40742083333333334,12.362083333333333,,,15.043478260869565,,,,,71.29166666666667,185.79166666666666,,,5.095833333333333,20.132440476190478,,3.4094861660079054,0.15527895833333333,0.0,14.206192358366273,44.25161104709044,0.0,18.641148589065256,0.5881778724747474,0.0,11.662342767295598,0.0,21.625,2621.0,1168.0,1453.0,1009.0,492.0,517.0,0.0,Good,03_SubIndex,O3
2302,Seattle 10th & Weller,2020-09-08,0.6262173913043477,15.721739130434784,,,55.041666666666664,,,,,69.66666666666667,98.125,,,3.8249999999999997,24.479437229437227,,3.1437932312252967,0.14606973214285715,0.0,13.099138463438736,129.66867703015924,0.0,20.777300117577894,1.383236099837662,0.0,14.213836477987421,0.0,23.208333333333332,1588.0,632.0,956.0,818.0,385.0,433.0,0.0,Good,03_SubIndex,O3
2303,Seattle 10th & Weller,2020-09-09,0.6897583333333334,32.739583333333336,,,34.73913043478261,,,,,73.95833333333333,138.5,,,3.329166666666667,23.30357142857143,,12.90503472222222,0.18200585317460316,0.0,46.08062981839135,95.53606992202351,0.0,21.577380952380953,2.068248331529581,0.0,30.841186423297785,0.0,49.416666666666664,2046.0,851.0,1195.0,945.0,447.0,498.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
2304,Seattle 10th & Weller,2020-09-10,0.8292130434782609,48.94,,,38.583333333333336,,,,,73.95833333333333,217.16666666666666,,,2.725,18.4375,,3.8822571828121024,0.1096425347222222,0.0,16.176071595050427,108.75125591968339,0.0,17.07175925925926,1.245937894570707,0.0,44.57607841126606,0.0,46.625,2139.0,830.0,1309.0,980.0,479.0,501.0,0.0,Good,NO2_SubIndex,NO2
2305,Seattle 10th & Weller,2020-09-11,1.3350458333333333,27.969583333333333,,,131.33333333333334,,,,,66.54166666666667,218.33333333333334,,,3.904166666666667,21.25378787878788,,3.735110420979986,0.1364409970238095,0.0,15.562960087416611,193.0416718087951,0.0,18.039480452674898,1.5504658752705625,0.0,26.363899712879412,0.0,28.125,897.0,358.0,539.0,541.0,258.0,283.0,0.0,Good,NO2_SubIndex,NO2
2306,Seattle 10th & Weller,2020-09-12,1.3052521739130436,19.679565217391303,,,145.625,,,,,57.666666666666664,218.08333333333334,,,2.6999999999999997,21.19047619047619,,3.228418991938014,0.13045173611111108,0.0,13.451745799741724,197.95283516744703,0.0,19.620811287477952,1.4824060921717168,0.0,17.792059748427672,0.0,21.583333333333332,343.0,164.0,179.0,188.0,87.0,101.0,0.0,Good,03_SubIndex,O3
2307,Seattle 10th & Weller,2020-09-13,,28.914583333333336,,,156.91666666666666,,,,,58.083333333333336,221.70833333333334,,,2.225,23.633658008658006,,6.1350694444444445,0.1658539078674948,0.0,25.56278935185185,207.58646774628508,0.0,20.059431951793062,1.8061741860569984,0.0,27.277908805031444,0.0,30.666666666666668,374.0,176.0,198.0,122.0,64.0,58.0,0.0,Good,NO2_SubIndex,NO2
2308,Seattle 10th & Weller,2020-09-14,1.4862583333333335,37.48708333333334,,,179.0,,,,,62.291666666666664,232.33333333333334,,,2.504166666666667,32.289682539682545,,7.936631944444444,0.16655989583333333,0.0,33.069299768518526,228.52852852852854,0.0,26.16062242798354,1.8927260890151514,0.0,35.335649097621,0.0,39.625,564.0,204.0,360.0,375.0,185.0,190.0,0.0,Good,NO2_SubIndex,NO2
2309,Seattle 10th & Weller,2020-09-15,1.4803375,38.02958333333333,,,177.79166666666666,,,,,66.75,198.54166666666666,,,2.6166666666666667,25.116071428571427,,8.590277777777777,0.17324575892857141,0.0,35.792824074074076,227.39032499306472,0.0,23.255621693121693,1.9687018060064931,0.0,35.920298400328136,0.0,41.166666666666664,646.0,240.0,406.0,395.0,197.0,198.0,0.0,Good,NO2_SubIndex,NO2
2310,Seattle 10th & Weller,2020-09-16,0.9519875,25.657916666666665,,,101.125,,,,,65.54166666666667,155.41666666666666,,,2.4583333333333335,17.921626984126984,,3.975520833333333,0.11181515376984126,0.0,16.56467013888889,174.03846153846155,0.0,16.594099059376838,1.2706267473845598,0.0,24.20558176100629,0.0,26.625,726.0,299.0,427.0,435.0,207.0,228.0,0.03,Good,NO2_SubIndex,NO2
2311,Seattle 10th & Weller,2020-09-17,0.953704347826087,24.840869565217393,,,70.75,,,,,66.29166666666667,167.70833333333334,,,2.829166666666667,23.7202380952381,,4.514930555555556,0.1280332341269841,0.0,18.81221064814815,155.0981108563541,0.0,21.963183421516757,1.454923115079365,0.0,22.458333333333332,0.0,26.25,937.0,386.0,551.0,469.0,226.0,243.0,0.0,Good,NO2_SubIndex,NO2
2312,Seattle 10th & Weller,2020-09-18,0.6845791666666666,19.789166666666667,,,45.083333333333336,,,,,63.583333333333336,157.41666666666666,,,3.0416666666666665,29.04642857142857,,5.750694444444444,0.17351403769841267,0.0,23.96122685185185,118.2614908259735,0.0,22.412367724867725,1.9717504283910532,0.0,18.669025157232706,0.0,28.041666666666668,749.0,316.0,433.0,379.0,175.0,204.0,5.073333333,Good,PM2.5FEM_SubIndex,PM2.5
2313,Seattle 10th & Weller,2020-09-19,0.4228625,12.468333333333334,,,4.695652173913044,,,,,62.75,206.91666666666666,,,3.9791666666666665,29.988756613756614,,8.21892361111111,0.22623479662698412,0.0,34.2455150462963,18.75,0.0,20.825525426219873,2.5708499616702736,0.0,11.7625786163522,0.0,34.333333333333336,1722.0,763.0,959.0,590.0,284.0,306.0,0.94,Good,PM2.5FEM_SubIndex,PM2.5
2314,Seattle 10th & Weller,2020-09-20,0.5673750000000001,15.907083333333333,,,6.375,,,,,63.25,188.41666666666666,,,2.404166666666667,25.874060150375943,,9.562152777777778,0.19195624999999997,0.0,39.84230324074074,26.469360991893183,0.0,18.966324955908288,2.1813210227272726,0.0,15.006682389937106,0.0,39.916666666666664,2814.0,1262.0,1552.0,978.0,481.0,497.0,2.71,Good,PM2.5FEM_SubIndex,PM2.5
2315,Seattle 10th & Weller,2020-09-21,0.6406652173913043,21.00086956521739,,,10.166666666666666,,,,,62.625,207.25,,,2.9916666666666667,23.34722222222222,,7.872569444444444,0.1716392132505176,0.0,32.80237268518519,40.53037076776347,0.0,16.213348765432098,1.869177038239538,0.0,18.986635220125788,0.0,32.958333333333336,2373.0,982.0,1391.0,977.0,487.0,490.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
2316,Seattle 10th & Weller,2020-09-22,0.5814625,21.47869565217391,,,6.434782608695652,,,,,65.66666666666667,210.875,,,3.5416666666666665,24.76686507936508,,10.481250000000001,0.1724429081632653,0.0,42.05552710582217,25.432910109680495,0.0,22.93228248089359,1.7146311891233763,0.0,19.4186320754717,0.0,42.458333333333336,3001.0,1269.0,1732.0,1201.0,598.0,603.0,2.85,Good,PM2.5FEM_SubIndex,PM2.5
2317,Seattle 10th & Weller,2020-09-23,,12.196666666666667,,,5.333333333333333,,,,,60.75,159.20833333333334,,,6.308333333333334,14.63045634920635,,3.505600845410628,0.1059095734126984,0.0,14.606670189210952,18.088340486409155,0.0,13.54671884185773,1.2035178796897545,0.0,11.5062893081761,0.0,16.166666666666668,884.0,346.0,538.0,407.0,187.0,220.0,16.53,Good,PM2.5FEM_SubIndex,PM2.5
