"X","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","Ozone_8hr_avg","PM2.5_MO_24hr_avg","PM2.5_FEM_24hr_avg","CO_8hr_avg","PM2.5MO_SubIndex","PM2.5FEM_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","X03_SubIndex","CO_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","AQI_bucket_calculated","AQI_calculated_where","AQI_Cause","mPM","mNO2","mWS","mWD","DOW","weekday","month","AQ_cat"
24,"Seattle 10th & Weller",2014-06-14,0.3973,13.3016666666667,NA,NA,NA,8.09166666666667,NA,NA,NA,NA,139.375,NA,NA,5.53333333333333,NA,NA,8.71484752415459,0.494435491071428,0,35.4744766991579,0,33.7152777777778,0,5.61858512581169,0,12.5487421383648,0,35.5833333333333,1773,955,818,695,339,356,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.09166666666667,13.3016666666667,5.53333333333333,139.375,7,"Sat","%b","less"
25,"Seattle 10th & Weller",2014-06-15,0.356516666666667,11.4025,NA,NA,NA,5.3125,NA,NA,NA,NA,151.125,NA,NA,4.73333333333333,NA,NA,11.0597222222222,0.459176934523809,0,44.8574973175966,0,22.1354166666667,0,5.21791971049783,0,10.7570754716981,0,44.8333333333333,1267,720,547,455,220,235,0.37,"Good","PM2.5FEM_SubIndex","PM2.5",5.3125,11.4025,4.73333333333333,151.125,1,"Sun","%b","less"
26,"Seattle 10th & Weller",2014-06-16,0.63215,26.139,NA,NA,NA,6.01666666666667,NA,NA,NA,NA,207.375,NA,NA,4.18333333333333,NA,NA,4.60069444444444,0.399547986111111,0,19.1695601851852,0,25.0694444444444,0,4.5403180239899,0,20.5495283018868,0,27.2916666666667,3361,1689,1672,902,441,461,3.99,"Good","NO2_SubIndex","NO2",6.01666666666667,26.139,4.18333333333333,207.375,2,"Mon","%b","less"
27,"Seattle 10th & Weller",2014-06-17,0.430920833333333,16.7341666666667,NA,NA,NA,6.70833333333333,NA,NA,NA,NA,170.708333333333,NA,NA,5.10416666666667,NA,NA,5.68576457509881,0.493490625,0,23.6906857295784,0,27.9513888888889,0,5.60784801136364,0,15.7869496855346,0,24.1666666666667,4107,2075,2032,1079,519,560,1.2,"Good","PM2.5FEM_SubIndex","PM2.5",6.70833333333333,16.7341666666667,5.10416666666667,170.708333333333,3,"Tue","%b","less"
28,"Seattle 10th & Weller",2014-06-18,0.655975,31.286875,NA,NA,NA,8.74444444444445,NA,NA,NA,57.4545454545455,204.2,NA,NA,4.245,NA,NA,6.215,0.483233035714286,0,25.8958333333333,0,32.3850143061516,0,5.49128449675324,0,23.6127358490566,0,29.55,4650,2380,2270,1220,496,724,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.74444444444445,31.286875,4.245,204.2,4,"Wed","%b","less"
29,"Seattle 10th & Weller",2014-06-19,0.502004545454545,20.6890909090909,NA,NA,NA,6.45833333333333,NA,NA,NA,57.9583333333333,192.708333333333,NA,NA,6.54583333333333,NA,NA,4.94913194444444,0.329863616071428,0,20.6213831018519,0,26.9097222222222,0,3.74845018262987,0,17.8915094339623,0,22.9166666666667,4412,2248,2164,1270,627,643,0,"Good","PM2.5FEM_SubIndex","PM2.5",6.45833333333333,20.6890909090909,6.54583333333333,192.708333333333,5,"Thu","%b","less"
30,"Seattle 10th & Weller",2014-06-20,0.403875,16.6394736842105,NA,NA,NA,5.39583333333333,NA,NA,NA,57,142.333333333333,NA,NA,4.64583333333333,NA,NA,3.94513888888889,0.358024345238095,0,16.4380787037037,0,22.3810801144492,0,4.06845846861472,0,12.4272798742138,0,19.5416666666667,3790,1902,1888,1020,497,523,1.04,"Good","PM2.5FEM_SubIndex","PM2.5",5.39583333333333,16.6394736842105,4.64583333333333,142.333333333333,6,"Fri","%b","less"
31,"Seattle 10th & Weller",2014-06-21,0.373629166666667,14.3241666666667,NA,NA,NA,5.24166666666667,NA,NA,NA,61.1666666666667,190.458333333333,NA,NA,4.6375,NA,NA,11.6343317687747,0.758249479166667,0,46.0898088946589,0,21.8402777777778,0,8.61647135416666,0,13.5133647798742,0,46.0416666666667,3204,1510,1694,1135,551,584,0,"Good","PM2.5FEM_SubIndex","PM2.5",5.24166666666667,14.3241666666667,4.6375,190.458333333333,7,"Sat","%b","less"
32,"Seattle 10th & Weller",2014-06-22,0.415075,16.9483333333333,NA,NA,NA,6.17916666666667,NA,NA,NA,64.4583333333333,195.875,NA,NA,4.42083333333333,NA,NA,6.93158143939394,0.525564434523809,0,28.8815893308081,0,25.7465277777778,0,5.97232311958874,0,15.9889937106918,0,28.875,2714,1411,1303,910,447,463,0,"Good","PM2.5FEM_SubIndex","PM2.5",6.17916666666667,16.9483333333333,4.42083333333333,195.875,1,"Sun","%b","less"
33,"Seattle 10th & Weller",2014-06-23,0.56685,26.961,NA,NA,NA,7.6625,NA,NA,NA,65.9583333333333,186.5,NA,NA,3.77083333333333,NA,NA,5.68368055555556,0.379746790674603,0,23.6820023148148,0,31.1424803290415,0,4.31530443948412,0,21.1957547169811,0,27.5,4477,2211,2266,1340,662,678,0,"Good","PM2.5FEM_SubIndex","PM2.5",7.6625,26.961,3.77083333333333,186.5,2,"Mon","%b","less"
