"","X","index","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","X03_SubIndex","CO_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","AQI_calculated_where","AQI_Cause","AQI_bucket_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","mPM","mNO2","AQ_cat"
"5577",6149,6149,"Seattle Beacon Hill",2020-05-07,0.164220833333333,NA,4.24416666666667,30,3,NA,NA,0.525,NA,54.75,NA,NA,NA,NA,27.7777777777778,1.86614583333333,12.5,0,0.75,0,4.00393081761006,28,"03_SubIndex","O3","Good",2837,1325,1512,1268,640,628,0,3,4.24416666666667,"less"
"5578",6150,6150,"Seattle Beacon Hill",2020-05-08,0.1802,NA,5.62136363636364,36.25,3.85714285714286,NA,NA,0.6125,NA,64.4166666666667,NA,NA,NA,NA,33.5648148148148,2.04772727272727,16.0714285714286,0,0.875,0,5.30317324185249,34,"03_SubIndex","O3","Good",3228,1453,1775,1381,685,696,0,3.85714285714286,5.62136363636364,"less"
"5579",6151,6151,"Seattle Beacon Hill",2020-05-09,0.170425,NA,3.52869565217391,38.75,2.23076923076923,NA,NA,0.55,NA,72.5833333333333,NA,NA,NA,NA,35.8796296296296,1.93664772727273,9.2948717948718,0,0.785714285714286,0,3.32895816242822,36,"03_SubIndex","O3","Good",3596,1882,1714,1751,854,897,0,2.23076923076923,3.52869565217391,"less"
"5580",6152,6152,"Seattle Beacon Hill",2020-05-10,0.185295652173913,NA,7.82583333333333,35.6521739130435,4.57142857142857,NA,NA,0.7,NA,73.5,NA,NA,NA,NA,33.0112721417069,2.10563241106719,19.047619047619,0,1,0,7.38286163522013,33,"03_SubIndex","O3","Good",3049,1434,1615,1295,644,651,0,4.57142857142857,7.82583333333333,"less"
"5581",6153,6153,"Seattle Beacon Hill",2020-05-11,0.181220833333333,NA,8.5,30,4.08333333333333,NA,NA,0.720833333333333,NA,62.25,NA,NA,NA,NA,27.7777777777778,2.05932765151515,17.0138888888889,0,1.0297619047619,0,8.0188679245283,28,"03_SubIndex","O3","Good",1823,842,981,838,391,447,0,4.08333333333333,8.5,"less"
"5582",6154,6154,"Seattle Beacon Hill",2020-05-12,0.187891666666667,NA,8.56791666666667,22.9166666666667,4.31578947368421,NA,NA,0.745833333333333,NA,56.0416666666667,NA,NA,NA,NA,21.2191358024691,2.13513257575758,17.9824561403509,0,1.06547619047619,0,8.08294025157233,21,"03_SubIndex","O3","Good",1544,691,853,520,261,259,0.983333333,4.31578947368421,8.56791666666667,"less"
"5583",6155,6155,"Seattle Beacon Hill",2020-05-13,0.149291666666667,NA,3.55782608695652,32.6086956521739,1.92857142857143,NA,NA,0.6125,NA,56.75,NA,NA,NA,NA,30.1932367149758,1.69649621212121,8.03571428571429,0,0.875,0,3.35643970467596,30,"03_SubIndex","O3","Good",2400,1065,1335,876,449,427,1.5975,1.92857142857143,3.55782608695652,"less"
"5584",6156,6156,"Seattle Beacon Hill",2020-05-14,0.159634782608696,NA,6.73833333333333,30,2.72727272727273,NA,NA,0.580952380952381,NA,56.2916666666667,NA,NA,NA,NA,27.7777777777778,1.81403162055336,11.3636363636364,0,0.829931972789116,0,6.35691823899371,28,"03_SubIndex","O3","Good",1976,869,1107,807,402,405,3.428333333,2.72727272727273,6.73833333333333,"less"
"5585",6157,6157,"Seattle Beacon Hill",2020-05-15,0.168195833333333,NA,3.32666666666667,34.5833333333333,4,NA,NA,0.545833333333333,NA,58.8333333333333,NA,NA,NA,NA,32.0216049382716,1.91131628787879,16.6666666666667,0,0.779761904761905,0,3.13836477987421,32,"03_SubIndex","O3","Good",3211,1507,1704,1379,701,678,0.03,4,3.32666666666667,"less"
"5586",6158,6158,"Seattle Beacon Hill",2020-05-16,0.2232875,NA,7.23291666666667,16.9565217391304,3.26086956521739,NA,NA,0.6625,NA,56.125,NA,NA,NA,NA,15.7004830917874,2.53735795454545,13.5869565217391,0,0.946428571428571,0,6.82350628930818,16,"03_SubIndex","O3","Good",972,479,493,371,186,185,1.721,3.26086956521739,7.23291666666667,"less"
"5587",6159,6159,"Seattle Beacon Hill",2020-05-17,0.1473375,NA,3.05782608695652,33.3333333333333,2.76923076923077,NA,NA,0.6,NA,57.875,NA,NA,NA,NA,30.8641975308642,1.67428977272727,11.5384615384615,0,0.857142857142857,0,2.88474159146842,31,"03_SubIndex","O3","Good",3354,1695,1659,1435,711,724,10.256051948,2.76923076923077,3.05782608695652,"less"
"5588",6160,6160,"Seattle Beacon Hill",2020-05-18,0.161260869565217,NA,6.07166666666667,27.0833333333333,2.66666666666667,NA,NA,0.65,NA,57.25,NA,NA,NA,NA,25.0771604938272,1.83250988142293,11.1111111111111,0,0.928571428571428,0,5.72798742138365,25,"03_SubIndex","O3","Good",2430,1123,1307,845,407,438,0,2.66666666666667,6.07166666666667,"less"
"5589",6161,6161,"Seattle Beacon Hill",2020-05-19,0.14265,NA,2.75208333333333,26.9565217391304,2.58333333333333,NA,NA,0.595833333333333,NA,56.9583333333333,NA,NA,NA,NA,24.9597423510467,1.62102272727273,10.7638888888889,0,0.851190476190476,0,2.59630503144654,25,"03_SubIndex","O3","Good",2545,1149,1396,966,458,508,0,2.58333333333333,2.75208333333333,"less"
"5590",6162,6162,"Seattle Beacon Hill",2020-05-20,0.150941666666667,NA,4.12318181818182,26.0869565217391,2.35294117647059,NA,NA,0.556521739130435,NA,54.125,NA,NA,NA,NA,24.1545893719807,1.71524621212121,9.80392156862745,0,0.795031055900621,0,3.88979416809605,24,"03_SubIndex","O3","Good",1523,656,867,670,329,341,1.095454545,2.35294117647059,4.12318181818182,"less"
"5591",6163,6163,"Seattle Beacon Hill",2020-05-21,0.160125,NA,4.26608695652174,29.1666666666667,1.33333333333333,NA,NA,0.545833333333333,NA,49.4583333333333,NA,NA,NA,NA,27.0061728395062,1.81960227272727,5.55555555555556,0,0.779761904761905,0,4.02461033634126,27,"03_SubIndex","O3","Good",1056,443,613,373,181,192,3.905285714,1.33333333333333,4.26608695652174,"less"
"5592",6164,6164,"Seattle Beacon Hill",2020-05-22,0.158665217391304,NA,4.42583333333333,25.6521739130435,2.0952380952381,NA,NA,0.568181818181818,NA,52,NA,NA,NA,NA,23.7520128824477,1.80301383399209,8.73015873015873,0,0.811688311688312,0,4.17531446540881,24,"03_SubIndex","O3","Good",2154,928,1226,926,464,462,4.20125,2.0952380952381,4.42583333333333,"less"
"5593",6165,6165,"Seattle Beacon Hill",2020-05-23,0.179345833333333,NA,4.75375,26.6666666666667,3.90909090909091,NA,NA,0.545833333333333,NA,54.375,NA,NA,NA,NA,24.6913580246914,2.03802083333333,16.2878787878788,0,0.779761904761905,0,4.48466981132075,25,"03_SubIndex","O3","Good",3095,1501,1594,1219,613,606,1.198214286,3.90909090909091,4.75375,"less"
"5594",6166,6166,"Seattle Beacon Hill",2020-05-24,0.201770833333333,NA,10.14125,19.1304347826087,5.5,NA,NA,0.7625,NA,58.875,NA,NA,NA,NA,17.7133655394525,2.29285037878788,22.9166666666667,0,1.08928571428571,0,9.56721698113208,23,"PM2.5_1hrMO_SubIndex","PM2.5","Good",3515,1624,1891,1313,637,676,0,5.5,10.14125,"less"
"5595",6167,6167,"Seattle Beacon Hill",2020-05-25,0.158670833333333,NA,5.9404347826087,20,2.88235294117647,NA,NA,0.575,NA,57.0416666666667,NA,NA,NA,NA,18.5185185185185,1.80307765151515,12.0098039215686,0,0.821428571428571,0,5.60418375717802,19,"03_SubIndex","O3","Good",772,354,418,302,137,165,2.539761904,2.88235294117647,5.9404347826087,"less"
"5596",6168,6168,"Seattle Beacon Hill",2020-05-26,0.141717391304348,NA,6.26,30,1.71428571428571,NA,NA,0.540909090909091,NA,56.7083333333333,NA,NA,NA,NA,27.7777777777778,1.61042490118577,7.14285714285714,0,0.772727272727273,0,5.90566037735849,28,"03_SubIndex","O3","Good",2426,1101,1325,897,439,458,0.15,1.71428571428571,6.26,"less"
